zipcode,average_income
10001,102878.0336
10002,59604.04116
10003,114273.0496
10004,132004.3103
10005,121437.7133
10006,126377.1186
10007,138853.9043
10009,77133.23353
10010,116272.6988
10011,120420.7921
10012,111131.7863
10013,106023.0447
10014,124233.1288
10016,109298.7309
10017,118061.7229
10018,108746.189
10019,107014.9678
10021,124193.9146
10022,124320.7941
10023,121776.2564
10024,118313.1488
10025,93258.39399
10026,65380.71801
10027,61675.98304
10028,117822.2453
10029,48339.67232
10030,48373.42271
10031,48674.79824
10032,46467.49001
10033,52235.16527
10034,50708.04659
10035,50944.66937
10036,94940.64443
10037,57120.58212
10038,95681.62574
10039,47026.16971
10040,50772.05882
10044,86945.03171
10065,120720.6464
10069,133653.8462
10075,120113.1306
10128,111992.4872
10162,137335.5263
10280,134397.5904
10282,152181.6038
10301,66913.3623
10302,57217.51412
10303,52778.86115
10304,61216.41075
10305,64277.19466
10306,73657.31116
10307,86900.43605
10308,81452.46479
10309,85576.92308
10310,67453.4293
10312,83484.34926
10314,74144.03778
10451,40553.31992
10452,35306.24662
10453,34474.69022
10454,35661.76471
10455,35785.48644
10456,34503.46706
10457,34633.56974
10458,35868.33144
10459,36056.16189
10460,36095.55804
10461,57890.49919
10462,49331.5508
10463,65918.80342
10464,84418.60465
10465,67554.1289
10466,47724.4389
10467,42034.17861
10468,37413.7931
10469,53108.54754
10470,58968.83289
10471,91633.16583
10472,37918.66029
10473,46564.81809
10474,35229.54092
10475,56136.16171
10501,105178.5714
10502,120470.3833
10504,128945.7071
10505,92225.60976
10506,126241.1348
10507,85787.03704
10509,84375
10510,124123.2465
10511,82944.91525
10512,85317.00835
10514,136587.5912
10516,99500
10518,113556.338
10520,103052.5502
10522,107674.1996
10523,75297.61905
10524,102978.972
10526,105338.5417
10527,115178.5714
10528,100964.7651
10530,105584.3707
10532,101162.7907
10533,121352.7851
10535,74038.46154
10536,118916.9847
10537,77254.09836
10538,127009.7442
10541,91301.88679
10543,95909.09091
10546,120246.4789
10547,87107.32984
10548,86397.05882
10549,92114.69534
10550,48113.69509
10552,77373.41772
10553,58578.85615
10560,104955.9471
10562,78564.81481
10566,63870.52877
10567,97280.4878
10570,112294.7455
10573,73685.89744
10576,125196.0784
10577,125904.6053
10578,91964.28571
10579,95230.26316
10580,125284.0909
10583,127798.9989
10588,91138.0597
10589,108700.2096
10590,113611.9632
10591,87684.12439
10594,100277.7778
10595,105585.1064
10597,135677.0833
10598,102525.3378
10601,83222.03673
10603,80059.82054
10604,87458.74587
10605,104251.4535
10606,71206.11552
10607,90000
10701,55344.2623
10703,62190.36697
10704,71318.10443
10705,53397.0276
10706,116423.7668
10707,101553.6723
10708,109944.9339
10709,102549.0196
10710,82270.67408
10801,67866.94958
10803,118323.6273
10804,125645.0488
10805,72483.76623
10901,87057.52212
10913,101730.7692
10916,92274.67811
10917,80963.30275
10918,84708.12183
10919,75625
10920,92320.26144
10921,79525.86207
10923,69642.85714
10924,87706.14693
10925,79522.35772
10926,72992.22798
10927,48936.59711
10928,64747.80702
10930,85937.5
10940,61566.88139
10941,67564.93506
10950,71012.98701
10952,66818.87367
10954,84852.70701
10956,100368.7769
10958,78560.60606
10960,86907.11462
10962,96595.14925
10963,75290.69767
10964,108854.1667
10965,96688.43284
10968,108200
10969,78409.09091
10970,78904.80591
10973,85129.31034
10974,84500
10975,63281.25
10976,77205.88235
10977,54143.05949
10980,83856.34589
10983,100324.6753
10984,86029.41176
10985,76666.66667
10986,87239.58333
10987,90975.60976
10989,95961.93416
10990,91337.5
10992,82287.44939
10993,55498.1203
10994,102152.9563
10996,79921.25984
10998,89644.97041
11001,87465.51724
11003,62972.83702
11004,76746.32353
11005,121318.4932
11010,83041.89085
11020,100918.5304
11021,105467.9285
11023,103758.7413
11024,98961.42433
11030,124556.0488
11040,93346.32517
11042,121250
11050,104821.5455
11096,48554.21687
11101,91603.38785
11102,67476.42745
11103,63495.96571
11104,66906.22861
11105,68860.90814
11106,66533.19406
11109,133892.8571
11201,117507.8639
11203,50698.51914
11204,51748.0983
11205,72222.22222
11206,51560.84305
11207,42837.47363
11208,40213.28594
11209,74627.30196
11210,61197.28128
11211,82047.45443
11212,39632.59001
11213,49651.68931
11214,51150.9636
11215,107133.5878
11216,65817.74082
11217,102531.3404
11218,65583.38378
11219,44299.33062
11220,37017.22832
11221,53503.67197
11222,89192.82029
11223,55444.32867
11224,50012.23092
11225,59241.72637
11226,51581.90994
11228,60916.66667
11229,63066.07521
11230,61947.77747
11231,99623.89381
11232,52851.94175
11233,50900.47393
11234,69030.64861
11235,60106.05689
11236,53505.43478
11237,49178.75427
11238,91554.80984
11239,46691.17647
